scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit
95,absent,linear-high,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0
96,absent,linear-high,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0
97,absent,linear-high,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0
98,absent,linear-high,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0
99,absent,linear-high,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0
100,absent,linear-high,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.25,0.7956044,0,0,0
101,absent,linear-high,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0
102,absent,linear-high,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0
103,absent,linear-high,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0
104,absent,linear-high,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.29,0.7758242,0,0,0
105,absent,linear-high,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0
106,absent,linear-high,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0
107,absent,linear-high,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0
108,absent,linear-high,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.22,0.7846154,0,0,0
109,absent,quadratic-moderate,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
110,absent,quadratic-moderate,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.81,1,-0.01255887,-5,0
